no, tanggal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2021-01-01 02:51:48,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,
1,2021-01-01 02:51:53,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,
2,2021-01-01 02:51:58,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,
3,2021-01-01 02:52:03,0.0,ON,0.0,ON,0.0,ON,0.0,ON,0.0,ON,0.0,ON,0.0,ON,0.0,ON,0.0,OFF,0.0,OFF,0.0,OFF,0.0,ON,0.0,OFF,0.0,OFF,0.0,ON,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,
4,2021-01-04 15:16:50,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,
5,2021-01-04 15:19:35,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,
6,2021-01-04 15:22:08,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,0.0,OFF,
7,2021-01-04 15:39:16,23.6,ON,2.3,ON,22.6,ON,1.4,ON,22.7,ON,9.6,ON,26.2,ON,14.0,ON,25.6,ON,2.2,ON,23.4,ON,-2.5,ON,21.8,ON,-1.5,ON,21.9,ON,-15.8,ON,22.4,ON,-1.6,ON,28.1,ON,-6.0,ON,22.7,ON,-0.6,ON,24.9,ON,1.6,ON,24.2,ON,-18.8,ON,22.4,ON,-14.1,ON,21.4,ON,-4.2,ON,19.9,ON,-0.8,ON,3.3,ON,3.3,ON,5.7,ON,5.7,ON,0.0,OFF,0.0,OFF,17.6,ON,17.6,ON,
8,2021-01-04 15:39:25,23.6,ON,2.4,ON,22.7,ON,1.7,ON,22.7,ON,9.3,ON,26.2,ON,12.7,ON,25.7,ON,2.2,ON,23.4,ON,-2.6,ON,21.8,ON,-1.5,ON,21.9,ON,-16.0,ON,22.4,ON,-1.6,ON,28.1,ON,-6.5,ON,22.7,ON,-0.7,ON,24.9,ON,2.2,ON,24.2,ON,-18.9,ON,22.4,ON,-14.5,ON,21.4,ON,-3.9,ON,19.9,ON,-0.8,ON,3.4,ON,3.4,ON,5.7,ON,5.7,ON,0.0,OFF,0.0,OFF,17.6,ON,17.6,ON,
9,2021-01-05 13:20:15,23.7,ON,1.6,ON,22.9,ON,-2.9,ON,22.7,ON,7.9,ON,25.1,ON,38.2,ON,24.3,ON,44.8,ON,20.6,ON,1.1,ON,19.0,ON,-2.4,ON,21.9,ON,-24.9,ON,21.5,ON,-2.7,ON,22.8,ON,-17.7,ON,22.0,ON,-1.4,ON,18.2,ON,-1.2,ON,22.9,ON,-9.4,ON,21.9,ON,-8.3,ON,19.5,ON,-0.7,ON,21.6,ON,5.6,ON,5.3,ON,5.3,ON,6.0,ON,6.0,ON,0.0,OFF,0.0,OFF,17.6,ON,17.6,ON,
10,2021-01-05 13:20:24,23.7,ON,1.7,ON,22.9,ON,-2.9,ON,22.6,ON,7.6,ON,25.2,ON,37.9,ON,24.3,ON,45.1,ON,20.6,ON,1.3,ON,19.0,ON,-2.5,ON,21.9,ON,-25.2,ON,21.5,ON,-2.6,ON,22.7,ON,-17.6,ON,22.0,ON,-1.4,ON,18.2,ON,-1.3,ON,23.0,ON,-9.4,ON,21.9,ON,-8.7,ON,19.5,ON,-0.4,ON,21.6,ON,6.2,ON,5.3,ON,5.3,ON,6.0,ON,6.0,ON,0.0,OFF,0.0,OFF,17.6,ON,17.6,ON,
